prison,email,acronym,phone,fax
Avenal State Prison ,Manifest.ASP@cdcr.ca.gov ,ASP,(559) 386-0587 ext. 7581 ,(559) 386-0772 
California City Correctional Facility ,Manifest.CAC@cdcr.ca.gov ,CAC,(760) 246-7600 ext. 7127 ,(760) 246-7052 
Calipatria State Prison ,Manifest.CAL@cdcr.ca.gov ,CAL,(760) 348-7000 ext. 5380 ,(760) 348-6089 
California Correctional Center ,Manifest.CCC@cdcr.ca.gov ,CCC,(530) 257-2181 ext. 4353 ,(530) 252-3047 
California Correctional Institution ,Manifest.CCI@cdcr.ca.gov ,CCI,(661) 822-4402 ext. 3851 or 4464 ,(661) 823-5014 
California Correctional Women’s Facility ,Manifest.CCWF@cdcr.ca.gov ,CCWF,(559) 665-5531 ext. 7631 ,(559) 665-8133 
"California State Prison, Centinela ",Manifest.CEN@cdcr.ca.gov ,CEN,(760) 337-7900 ext. 7040 ,(760) 337-7685 
California Health Care Facility ,Manifest.CHCF@cdcr.ca.gov ,CHCF,(209) 467-5476 ext. 5476 ,(209) 467-1594 
California Institution for Men ,Manifest.CIM@cdcr.ca.gov ,CIM,(909) 597-1821 ext. 6187 ,(909) 606-7102 
California Institution for Women ,Manifest.CIW@cdcr.ca.gov ,CIW,(909) 597-1771 ext. 6382 ,(909) 606-4922 
California Men’s Colony ,Manifest.CMC@cdcr.ca.gov ,CMC,(805) 547-7900 ext. 7853 ,(805) 547-7742 
California Medical Facility ,Manifest.CMF@cdcr.ca.gov ,CMF,(707) 448-6841 ext. 2475 ,(707) 469-6040 
"California State Prison, Corcoran ",Manifest.COR@cdcr.ca.gov ,COR,(559) 992-8800 ext. 7563 ,(559) 992-6170 
California Rehabilitation Center ,Manifest.CRC@cdcr.ca.gov ,CRC,(951) 737-2683 ext. 4205 ,(951) 737-2939 
Correctional Training Facility ,Manifest.CTF@cdcr.ca.gov ,CTF,(831) 678-3951 ext. 5877 ,(831) 678-5963 
Chuckawalla Valley State Prison ,Manifest.CVSP@cdcr.ca.gov ,CVSP,(760) 922-5300 ext. 5560 ,(760) 922-9763 
Folsom State Prison ,Manifest.FSP@cdcr.ca.gov ,FSP,(916) 985-2561 ext. 3021 ,(916) 351-3055 
High Desert State Prison ,Manifest.HDSP@cdcr.ca.gov ,HDSP,(530) 251-5100 ext. 5150 ,(530) 251-5082 
Ironwood State Prison ,Manifest.ISP@cdcr.ca.gov ,ISP,(760) 921-3000 ext. 6705 ,(760) 921-4372 
Kern Valley State Prison ,Manifest.KVSP@cdcr.ca.gov ,KVSP,(661) 721-6300 ext. 5043 ,(661) 721-6365 
"California State Prison, Los Angeles County ",Manifest.LAC@cdcr.ca.gov ,LAC,(661) 729-2000 ext. 5573 ,(661) 729-6950 
Mule Creek State Prison ,Manifest.MCSP@cdcr.ca.gov ,MCSP,(209) 274-4911 ext. 5912 ,(209) 274-5109 
North Kern State Prison ,Manifest.NKSP@cdcr.ca.gov ,NKSP,(661) 721-2345 ext. 5531 ,(661) 721-3166 
Pelican Bay State Prison ,Manifest.PBSP@cdcr.ca.gov ,PBSP,(707) 465-1000 ext. 7941 ,(707) 465-9070 
Pleasant Valley State Prison ,Manifest.PVSP@cdcr.ca.gov ,PVSP,(559) 935-4900 ext. 5043 ,(559) 935-4967 
Richard J. Donovan Correctional Facility ,Manifest.RJD@cdcr.ca.gov ,RJD,(619) 661-6500 ext. 5524 ,(619) 661-7881 
"California State Prison, Sacramento ",Manifest.SAC@cdcr.ca.gov ,SAC,(916) 985-8610 ext. 7597 ,(916) 294-3069 
"SATF California State Prison, Corcoran",Manifest.SATF@cdcr.ca.gov ,SATF,(559) 992-7100 ext. 7118 ,(559) 992-7293 
Sierra Conservation Center ,Manifest.SCC@cdcr.ca.gov ,SCC,(209) 984-5291 ext. 5069 ,(209) 984-3140 
"California State Prison, Solano ",Manifest.SOL@cdcr.ca.gov ,SOL,(707) 451-0182 ext. 5150 ,(707) 454-3220 
San Quentin State Prison ,Manifest.SQ@cdcr.ca.gov ,SQ,(415) 454-1460 ext. 6000 ,(415) 455-5018 
Salinas Valley State Prison ,Manifest.SVSP@cdcr.ca.gov ,SVSP,(831) 678-5500 ext. 5518 ,(831) 678-5665 
Valley State Prison ,Manifest.VSP@cdcr.ca.gov ,VSP,(559) 665-6100 ext. 5043 ,(559) 665-6156 
