name,street,namestreet2,address,zip,physicalname,physicalstreet,website
Bibb Correctional Facility,565 Bibb Lane,,"Brent, AL 35034",35034,,,https://www.prisonpro.com/content/bibb-correctional-facility
"Dorm, Bed number",P.O. Box 5107,,"Union Springs, AL 36089-5107",36089,,,https://www.prisonpro.com/content/bullock-correctional-facility
Donaldson Correctional Facility,100 Warrior Lane,,"Bessemer, AL 35023-7299",35023,,,https://www.prisonpro.com/content/donaldson-correctional-facility
Draper Correctional Facility,P.O. Box 1107,,"Elmore, AL 36025",36025,,,https://www.prisonpro.com/content/draper-correctional-facility
Easterling Correctional Facility,200 Wallace Drive,,"Clio, AL 36017-2615",36017,,,https://www.prisonpro.com/content/easterling-correctional-institution
Elmore Correctional Center,3520 Marion Spillway Road,,"Elmore, AL 36025",36025,,,https://www.prisonpro.com/content/elmore-correctional-center
Fountain Correctional Facility,Fountain 3800,,"Atmore, AL 36503-3800",36503,,,https://www.prisonpro.com/content/fountain-correctional-facility-jo-davis
Hamilton Aged & Infirmed,223 Sasser Drive,,"Hamilton, AL 35570",35570,,,https://www.prisonpro.com/content/hamilton-aged-infirmed
Holman Correctional Facility,Holman 3700,,"Atmore, AL 36503-3700",36503,,,https://www.prisonpro.com/content/holman-correctional-facility
Kilby Correctional Facility,P.O. Box 150,,"Mt. Meigs, AL 36057",36057,,,https://www.prisonpro.com/content/kilby-correctional-facility
Limestone Correctional Facility,28779 Nick Davis Rd,,"Harvest, AL 35749",35749,,,https://www.prisonpro.com/content/limestone-correctional-facility
Montgomery Women's Facility,P.O. Box 75,,"Mt. Meigs, AL 36057",36057,,,https://www.prisonpro.com/content/montgomery-womens-facility
Red Eagle Work Center,1290 Red Eagle Road,,"Montgomery, AL 36110",36110,,,https://www.prisonpro.com/content/red-eagle-honor-farm-work-center
St. Clair Correctional Facility,1000 St. Clair Road,,"Springville, AL 35146",35146,,,https://www.prisonpro.com/content/st-clair-correctional-center
Staton Correctional Facility,P.O. Box 56,,"Elmore, AL 36025",36025,,,https://www.prisonpro.com/content/staton-correctional-facility
Tutwiler Prison for Women,8966 US Hwy 231 N,,"Wetumpka, AL 36092",36092,,,https://www.prisonpro.com/content/tutwiler-prison-women
Ventress Correctional Facility,P.O. Box 767,,"Clayton, AL 36016-0767",36016,,,https://www.prisonpro.com/content/ventress-correctional-facility
Anchorage Correctional Complex,1400 East 4th Avenue,,"Anchorage, Alaska 99501",99501,,,https://www.prisonpro.com/content/anchorage-correctional-complex
Anchorage Correctional Complex,1300 East 4th Avenue,,"Anchorage, Alaska 99501",99501,,,https://www.prisonpro.com/content/anchorage-correctional-complex
Anvil Mountain Correctional Center,PO Box 730,,"Nome, Alaska 99762",99762,,,https://www.prisonpro.com/content/anvil-mountain-correctional-center
Fairbanks Correctional Center,1931 Egan Avenue,,"Fairbanks, AK 99701",99701,,,https://www.prisonpro.com/content/fairbanks-correctional-center
Goose Creek Correctional Center,P.O. 877790,,"Wasilla, AK 99687",99687,,,https://www.prisonpro.com/content/goose-creek-correctional-center
Hiland Mountain Correctional Center,9101 Hesterberg Road,,"Eagle River, Alaska 99577",99577,,,https://www.prisonpro.com/content/hiland-mountain-correctional-center
Ketchikan Correctional Center,1201 Schoenbar Rd,,"Ketchikan, Alaska 99901-6270",99901,,,https://www.prisonpro.com/content/ketchikan-correctional-center
Lemon Creek Correctional Center,2000 Lemon Creek Road,,"Juneau, Alaska 99801",99801,,,https://www.prisonpro.com/content/lemon-creek-correctional-center
Mat-Su Pretrial,339 East Dogwood Road,,"Palmer, Alaska 99645",99645,,,https://www.prisonpro.com/content/mat-su-pretrial-facility
Palmer Correctional Center,P.O. Box 919,,"Palmer, Alaska 99645",99645,,,https://www.prisonpro.com/content/palmer-correctional-center
Point Mackenzie Correctional Farm,P.O. Box 877730,,"Wasilla, Alaska 99687",99687,,,https://www.prisonpro.com/content/point-mackenzie-correctional-farm
Spring Creek Correctional Center,3600 Bette Cato Avenue,,"Seward, Alaska 99664",99664,,,https://www.prisonpro.com/content/spring-creek-correctional-center
Wildwood Correctional Center,10 Chugach Avenue,,"Kenai, Alaska 99611",99611,,,https://www.prisonpro.com/content/wildwood-correctional-complex
Wildwood Pre-Trial Facility,5 Chugach Avenue,,"Kenai, Alaska 99611",99611,,,https://www.prisonpro.com/content/wildwood-correctional-complex
Wildwood Transitional Program,11 Chugach Avenue,,"Kenai, Alaska 99611",99611,,,https://www.prisonpro.com/content/wildwood-correctional-complex
Yukon Kuskokwim Correctional Center,PO Box 400,,"Bethel, Alaska 99559",99559,,,https://www.prisonpro.com/content/yukon-kuskokwim-correctional-center
ASPC - Douglas,P.O. Box 3867,,"Douglas, AZ 85608-3867",85608,,,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
Maricopa Unit,P.O. Box 5000,,"Douglas, AZ 85608",85608,,,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
Mohave Unit,P.O. Box 5002,,"Douglas, AZ 85608",85608,,,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
Complex Detention Unit,P.O. Box 5006,,"Douglas, AZ 85608",85608,,,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
Papago Unit,P.O. Box 5005,,"Douglas, AZ 85608",85608,,,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
Gila Unit,P.O. Box 5003,,"Douglas, AZ 85608",85608,,,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
Eggers Unit,P.O. Box 5001,,"Douglas, AZ 85608",85608,,,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
Browning Unit,P.O. Box 3400,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/eyman-arizona-prison-complex
Cook Unit,P.O. Box 3200,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/eyman-arizona-prison-complex
Meadows Unit,P.O. Box 3300,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/eyman-arizona-prison-complex
Rynning Unit,P.O. Box 3100,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/eyman-arizona-prison-complex
SMU I Unit,P.O. Box 4000,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/eyman-arizona-prison-complex
Central Unit,P.O. Box 8200,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
East Unit,P.O. Box 5000,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
Globe Unit,P.O. Box 2799,,"Globe, AZ 85502",85502,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
Kasson Unit,P.O. Box 8200,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
North Unit,P.O. Box 7000,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
South Unit,P.O. Box 8400,,"Florence, AZ 85132",85132,,,https://www.prisonpro.com/content/florence-arizona-prison-complex
Cerbat Unit,PO Box 3009,,"Kingman, AZ 86402",86402,,,https://www.prisonpro.com/content/kingman-arizona-state-prison-complex
Hualapai Unit,PO Box 6639,,"Kingman, AZ 86402",86402,,,https://www.prisonpro.com/content/kingman-arizona-state-prison-complex
Bachman Unit,P.O. Box 3500,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Barchey Unit,P.O. Box 3200,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Buckley Unit,P.O. Box 3400,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Eagle Point Unit,P.O. Box 3700,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Morey Unit,P.O. Box 3300,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Rast Unit,P.O. Box 3600,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Stiner Unit,P.O. Box 3100,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Sunrise Unit,P.O. Box 3700,,"Buckeye, AZ 85326",85326,,,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
Complex Detention,P.O. Box 3000,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
Complex Minors,P.O. Box 3000,,"Goodyear, AZ 85395",85395,,,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
