name,address,zip
Bibb Correctional Facility,565 Bibb Lane,35034
"Dorm, Bed number",P.O. Box 5107,36089
Donaldson Correctional Facility,100 Warrior Lane,35023
Draper Correctional Facility,P.O. Box 1107,36025
Easterling Correctional Facility,200 Wallace Drive,36017
Elmore Correctional Center,3520 Marion Spillway Road,36025
Fountain Correctional Facility,Fountain 3800,36503
Hamilton Aged & Infirmed,223 Sasser Drive,35570
Holman Correctional Facility,Holman 3700,36503
Kilby Correctional Facility,P.O. Box 150,36057
Limestone Correctional Facility,28779 Nick Davis Rd,35749
Montgomery Women's Facility,P.O. Box 75,36057
Red Eagle Work Center,1290 Red Eagle Road,36110
St. Clair Correctional Facility,1000 St. Clair Road,35146
Staton Correctional Facility,P.O. Box 56,36025
Tutwiler Prison for Women,8966 US Hwy 231 N,36092
Ventress Correctional Facility,P.O. Box 767,36016
Anchorage Correctional Complex,1400 East 4th Avenue,99501
Anvil Mountain Correctional Center,PO Box 730,99762
Fairbanks Correctional Center,1931 Egan Avenue,99701
Goose Creek Correctional Center,P.O. 877790,99687
Hiland Mountain Correctional Center,9101 Hesterberg Road,99577
Ketchikan Correctional Center,1201 Schoenbar Rd,99901
Lemon Creek Correctional Center,2000 Lemon Creek Road,99801
Mat-Su Pretrial,339 East Dogwood Road,99645
Palmer Correctional Center,P.O. Box 919,99645
Point Mackenzie Correctional Farm,P.O. Box 877730,99687
Spring Creek Correctional Center,3600 Bette Cato Avenue,99664
Wildwood Correctional Center,10 Chugach Avenue,99611
Wildwood Correctional Center,10 Chugach Avenue,99611
Yukon Kuskokwim Correctional Center,PO Box 400,99559
ASPC - Douglas,P.O. Box 3867,85608
Inmate Name and ADC #,P.O. Box 3400,85132
"Inmate Name, ID Number",P.O. Box 8200,85132
"Inmate Name, ID Number",P.O. Box 5000,85132
"Inmate Name, ID Number",PO Box 3009,86402
"Inmate Name, ID Number",PO Box 3009,86402
Inmate Name and ADC#,P.O. Box 3500,85326
Inmate Name and ADC#,P.O. Box 3000,85395
Inmate Name and ADC#,P.O. Box 52109,85072
Inmate Name and ADC#,896 S. Cook Road,85546
Inmate Name and ADC#,P.O. Box 24409,85734
Apache Unit,PO Box 3240,85936
Complex Lock-Up,2100 S. Hwy 87,86047
Inmate Name and ADC#,P.O. Box 8939,85349
"Inmate's Name, ID Number",P.O. Box 9200,85132
Arizona State Prison - Phoenix West,P.O. Box 18640,85005
Red Rock Correctional Center,1750 East Arica Road,85131
Benton Unit,6701 Highway 67,72015
Boot Camp Program,P.O. Box 240,72168
Cummins Unit,P.O. Box 500,71644
Delta Regional Unit,880 East Gaines,71638
East Arkansas Regional Unit,P.O. Box 180,72320
Grimes Unit,300 Corrections Drive,72112
"J. Aaron Hawkins, Sr., Center for Women",P.O. Box 1000,72183
Maximum Security Unit,2501 State Farm Rd.,72168
McPherson Unit,302 Corrections Drive,72112
Mississippi County Work Release Center,P.O. Box 10,72358
North Central Unit,10 Prison Circle,72519
Northwest Arkansas Work Release Center,200 East Price Avenue,72764
Ouachita River Correctional Unit,P.O. Box 1630,72104
Pine Bluff Unit,890 Free Line Dr.,71603
Randall L. Williams Correctional Facility,7206 West 7th Street,71603
Texarkana Regional Correction Center,305 East 5th Street,71854
Tucker Unit,P.O. Box 240,72168
Varner Unit,P.O. Box 600,71644
Wrightsville Unit,P.O. Box 1000,72183
"A Facility, MSF Facility",P.O. Box 2500,96127
Housing Unit 1,PO Box 107,93581
Housing Unit 2,PO Box 608,93581
CIM I,P.O. Box 600,91708
CIM I,P.O. Box 600,91708
California Institution for Women,PO Box 8100,92878
California Medical Facility,P.O. Box 2000,95696
California Men's Colony EAST,P.O. Box 8101,93409
California Men's Colony EAST,P.O. Box 8101,93409
California Rehabilitation Center,P.O. Box 3535,92860
California Rehabilitation Center,P.O. Box 3535,92860
(Inmate's Housing Unit),P.O. Box 4430,93539
